name, repeat, time, slow_prob, transf, fvc, depth, inv_depth, rate
orig, 1, 1, 0.000000, id, 1, 16, -1, 72.958548
inc, 1, 1, 0.000000, id, 1, 16, -1, 3572254.386431
einc, 1, 1, 0.000000, id, 1, 16, -1, 167426.744764
orig, 1, 1, 0.000000, add, 1, 16, 1, 88.190544
inc, 1, 1, 0.000000, add, 1, 16, 1, 69431.596259
orig, 1, 1, 0.000000, id, 1024, 16, -1, 29.990258
inc, 1, 1, 0.000000, id, 1024, 16, -1, 4403.031716
einc, 1, 1, 0.000000, id, 1024, 16, -1, 388.772257
orig, 1, 1, 0.000000, add, 1024, 16, 1, 29.562266
inc, 1, 1, 0.000000, add, 1024, 16, 1, 428.132176
orig, 1, 1, 0.000000, id, 2048, 16, -1, 27.829365
inc, 1, 1, 0.000000, id, 2048, 16, -1, 2122.729964
einc, 1, 1, 0.000000, id, 2048, 16, -1, 204.387781
orig, 1, 1, 0.000000, add, 2048, 16, 1, 28.151436
inc, 1, 1, 0.000000, add, 2048, 16, 1, 220.360642
orig, 1, 1, 0.000000, id, 1, 16, -1, 89.080716
inc, 1, 1, 0.000000, id, 1, 16, -1, 3601277.015792
einc, 1, 1, 0.000000, id, 1, 16, -1, 166828.622599
orig, 1, 1, 0.000000, add, 1, 16, 2, 89.124039
inc, 1, 1, 0.000000, add, 1, 16, 2, 165971.088127
orig, 1, 1, 0.000000, id, 1024, 16, -1, 29.644056
inc, 1, 1, 0.000000, id, 1024, 16, -1, 4395.121729
einc, 1, 1, 0.000000, id, 1024, 16, -1, 389.277920
orig, 1, 1, 0.000000, add, 1024, 16, 2, 30.000244
inc, 1, 1, 0.000000, add, 1024, 16, 2, 449.509506
orig, 1, 1, 0.000000, id, 2048, 16, -1, 28.329735
inc, 1, 1, 0.000000, id, 2048, 16, -1, 2112.828679
einc, 1, 1, 0.000000, id, 2048, 16, -1, 205.354270
orig, 1, 1, 0.000000, add, 2048, 16, 2, 28.264290
inc, 1, 1, 0.000000, add, 2048, 16, 2, 228.740054
orig, 1, 1, 0.000000, id, 1, 16, -1, 89.517330
inc, 1, 1, 0.000000, id, 1, 16, -1, 3616736.766242
einc, 1, 1, 0.000000, id, 1, 16, -1, 166530.200060
orig, 1, 1, 0.000000, add, 1, 16, 4, 89.086947
inc, 1, 1, 0.000000, add, 1, 16, 4, 165937.426488
orig, 1, 1, 0.000000, id, 1024, 16, -1, 30.122179
inc, 1, 1, 0.000000, id, 1024, 16, -1, 4398.727946
einc, 1, 1, 0.000000, id, 1024, 16, -1, 389.677713
orig, 1, 1, 0.000000, add, 1024, 16, 4, 30.043309
inc, 1, 1, 0.000000, add, 1024, 16, 4, 451.145720
orig, 1, 1, 0.000000, id, 2048, 16, -1, 28.239175
inc, 1, 1, 0.000000, id, 2048, 16, -1, 2121.342304
einc, 1, 1, 0.000000, id, 2048, 16, -1, 205.076768
orig, 1, 1, 0.000000, add, 2048, 16, 4, 27.662747
inc, 1, 1, 0.000000, add, 2048, 16, 4, 231.370126
orig, 1, 1, 0.000000, id, 1, 16, -1, 89.412512
inc, 1, 1, 0.000000, id, 1, 16, -1, 3627960.657891
einc, 1, 1, 0.000000, id, 1, 16, -1, 165378.093712
orig, 1, 1, 0.000000, add, 1, 16, 8, 87.414285
inc, 1, 1, 0.000000, add, 1, 16, 8, 192620.440095
orig, 1, 1, 0.000000, id, 1024, 16, -1, 30.065050
inc, 1, 1, 0.000000, id, 1024, 16, -1, 4401.844582
einc, 1, 1, 0.000000, id, 1024, 16, -1, 389.360438
orig, 1, 1, 0.000000, add, 1024, 16, 8, 29.917838
inc, 1, 1, 0.000000, add, 1024, 16, 8, 527.043193
orig, 1, 1, 0.000000, id, 2048, 16, -1, 27.778266
inc, 1, 1, 0.000000, id, 2048, 16, -1, 2117.793183
einc, 1, 1, 0.000000, id, 2048, 16, -1, 204.731729
orig, 1, 1, 0.000000, add, 2048, 16, 8, 27.743740
inc, 1, 1, 0.000000, add, 2048, 16, 8, 278.740249
orig, 1, 1, 0.000000, id, 1, 16, -1, 88.423870
inc, 1, 1, 0.000000, id, 1, 16, -1, 3583584.412051
einc, 1, 1, 0.000000, id, 1, 16, -1, 167122.057484
orig, 1, 1, 0.000000, add, 1, 16, 8, 88.972007
inc, 1, 1, 0.000000, add, 1, 16, 8, 191407.882697
orig, 1, 1, 0.000000, id, 1024, 16, -1, 29.577897
inc, 1, 1, 0.000000, id, 1024, 16, -1, 4399.584690
einc, 1, 1, 0.000000, id, 1024, 16, -1, 388.273777
orig, 1, 1, 0.000000, add, 1024, 16, 8, 29.477927
inc, 1, 1, 0.000000, add, 1024, 16, 8, 529.237528
orig, 1, 1, 0.000000, id, 2048, 16, -1, 27.863018
inc, 1, 1, 0.000000, id, 2048, 16, -1, 2109.927208
einc, 1, 1, 0.000000, id, 2048, 16, -1, 200.766337
orig, 1, 1, 0.000000, add, 2048, 16, 8, 26.510959
inc, 1, 1, 0.000000, add, 2048, 16, 8, 270.946424
orig, 1, 1, 0.000000, id, 1, 16, -1, 73.404908
inc, 1, 1, 0.000000, id, 1, 16, -1, 3172720.940005
einc, 1, 1, 0.000000, id, 1, 16, -1, 155310.508101
orig, 1, 1, 0.000000, add, 1, 16, 10, 80.248981
inc, 1, 1, 0.000000, add, 1, 16, 10, 175104.664677
orig, 1, 1, 0.000000, id, 1024, 16, -1, 27.222040
inc, 1, 1, 0.000000, id, 1024, 16, -1, 4375.840226
einc, 1, 1, 0.000000, id, 1024, 16, -1, 386.104452
orig, 1, 1, 0.000000, add, 1024, 16, 10, 29.379766
inc, 1, 1, 0.000000, add, 1024, 16, 10, 485.787174
