name, repeat, time, slow_prob, transf, fvc, depth, inv_depth, rate
orig, 1, 1, 0.000000, id, 1, 16, -1, 135.056128
inc, 1, 1, 0.000000, id, 1, 16, -1, 5732155.096363
einc, 1, 1, 0.000000, id, 1, 16, -1, 275095.471904
orig, 1, 1, 0.000000, add, 1, 16, 1, 142.286792
inc, 1, 1, 0.000000, add, 1, 16, 1, 173677.884615
orig, 1, 1, 0.000000, elim, 1, 16, 1, 389.660525
inc, 1, 1, 0.000000, elim, 1, 16, 1, inf
orig, 1, 1, 0.000000, move, 1, 16, 1, 140.398732
inc, 1, 1, 0.000000, move, 1, 16, 1, 661.720153
orig, 1, 1, 0.000000, id, 1024, 16, -1, 51.412585
inc, 1, 1, 0.000000, id, 1024, 16, -1, 7081.892657
einc, 1, 1, 0.000000, id, 1024, 16, -1, 620.649101
orig, 1, 1, 0.000000, add, 1024, 16, 1, 50.505394
inc, 1, 1, 0.000000, add, 1024, 16, 1, 667.689869
orig, 1, 1, 0.000000, elim, 1024, 16, 1, 112.932087
inc, 1, 1, 0.000000, elim, 1024, 16, 1, 4387.429062
orig, 1, 1, 0.000000, move, 1024, 16, 1, 50.627691
inc, 1, 1, 0.000000, move, 1024, 16, 1, 313.967777
orig, 1, 1, 0.000000, id, 2048, 16, -1, 46.769296
inc, 1, 1, 0.000000, id, 2048, 16, -1, 3395.684219
einc, 1, 1, 0.000000, id, 2048, 16, -1, 326.494662
orig, 1, 1, 0.000000, add, 2048, 16, 1, 46.920638
inc, 1, 1, 0.000000, add, 2048, 16, 1, 343.636785
orig, 1, 1, 0.000000, elim, 2048, 16, 1, 107.143866
inc, 1, 1, 0.000000, elim, 2048, 16, 1, 2891.405868
orig, 1, 1, 0.000000, move, 2048, 16, 1, 47.080849
inc, 1, 1, 0.000000, move, 2048, 16, 1, 237.551819
orig, 1, 1, 0.000000, id, 1, 16, -1, 138.819124
inc, 1, 1, 0.000000, id, 1, 16, -1, 5693925.419226
einc, 1, 1, 0.000000, id, 1, 16, -1, 262881.415157
orig, 1, 1, 0.000000, add, 1, 16, 2, 139.139329
inc, 1, 1, 0.000000, add, 1, 16, 2, 337220.900790
orig, 1, 1, 0.000000, elim, 1, 16, 2, 208.440871
inc, 1, 1, 0.000000, elim, 1, 16, 2, 714.141151
orig, 1, 1, 0.000000, move, 1, 16, 2, 135.758380
inc, 1, 1, 0.000000, move, 1, 16, 2, 710.713498
orig, 1, 1, 0.000000, id, 1024, 16, -1, 49.875647
inc, 1, 1, 0.000000, id, 1024, 16, -1, 7019.431323
einc, 1, 1, 0.000000, id, 1024, 16, -1, 620.935738
