name, repeat, time, transf, fvc, depth, inv_depth, rate
orig, 5, 2, id, 1, 8, -1, 84299.763711
orig, 5, 2, id, 1, 8, -1, 84442.192953
orig, 5, 2, id, 1, 8, -1, 84352.812018
orig, 5, 2, id, 1, 8, -1, 84268.077189
orig, 5, 2, id, 1, 8, -1, 84539.186672
inc, 5, 2, id, 1, 8, -1, 9530270.552058
inc, 5, 2, id, 1, 8, -1, 9621035.372880
inc, 5, 2, id, 1, 8, -1, 9660951.116914
inc, 5, 2, id, 1, 8, -1, 9633624.596999
inc, 5, 2, id, 1, 8, -1, 9650773.751702
einc, 5, 2, id, 1, 8, -1, 851067.044362
einc, 5, 2, id, 1, 8, -1, 846697.117279
einc, 5, 2, id, 1, 8, -1, 849272.388060
einc, 5, 2, id, 1, 8, -1, 862916.670509
einc, 5, 2, id, 1, 8, -1, 855769.191685
orig, 5, 2, mod, 1, 8, 1, 83983.253945
orig, 5, 2, mod, 1, 8, 1, 84042.338432
orig, 5, 2, mod, 1, 8, 1, 83958.493728
orig, 5, 2, mod, 1, 8, 1, 83961.543961
orig, 5, 2, mod, 1, 8, 1, 84419.072417
inc, 5, 2, mod, 1, 8, 1, 906067.578213
inc, 5, 2, mod, 1, 8, 1, 917179.259038
inc, 5, 2, mod, 1, 8, 1, 899331.282738
inc, 5, 2, mod, 1, 8, 1, 898895.369490
inc, 5, 2, mod, 1, 8, 1, 901805.318931
orig, 5, 2, id, 1, 10, -1, 19637.299423
orig, 5, 2, id, 1, 10, -1, 19666.647084
orig, 5, 2, id, 1, 10, -1, 19465.824421
orig, 5, 2, id, 1, 10, -1, 19673.938959
orig, 5, 2, id, 1, 10, -1, 19567.487063
inc, 5, 2, id, 1, 10, -1, 9171080.153899
inc, 5, 2, id, 1, 10, -1, 9166950.942229
inc, 5, 2, id, 1, 10, -1, 9186831.601660
inc, 5, 2, id, 1, 10, -1, 9206453.226734
inc, 5, 2, id, 1, 10, -1, 9223166.515505
einc, 5, 2, id, 1, 10, -1, 617660.742017
einc, 5, 2, id, 1, 10, -1, 613115.462763
einc, 5, 2, id, 1, 10, -1, 613661.675597
einc, 5, 2, id, 1, 10, -1, 615265.698446
einc, 5, 2, id, 1, 10, -1, 611398.438950
orig, 5, 2, mod, 1, 10, 1, 19703.401336
orig, 5, 2, mod, 1, 10, 1, 19630.581190
orig, 5, 2, mod, 1, 10, 1, 19653.937307
orig, 5, 2, mod, 1, 10, 1, 19645.301682
orig, 5, 2, mod, 1, 10, 1, 19615.892126
inc, 5, 2, mod, 1, 10, 1, 648337.466533
inc, 5, 2, mod, 1, 10, 1, 634541.353311
inc, 5, 2, mod, 1, 10, 1, 614960.795787
inc, 5, 2, mod, 1, 10, 1, 640420.216202
inc, 5, 2, mod, 1, 10, 1, 615651.016587
orig, 5, 2, id, 1, 12, -1, 4407.987302
orig, 5, 2, id, 1, 12, -1, 4389.099292
orig, 5, 2, id, 1, 12, -1, 4389.796663
orig, 5, 2, id, 1, 12, -1, 4392.406924
orig, 5, 2, id, 1, 12, -1, 4355.628882
inc, 5, 2, id, 1, 12, -1, 9121142.441988
inc, 5, 2, id, 1, 12, -1, 9131994.419985
inc, 5, 2, id, 1, 12, -1, 9104450.132036
inc, 5, 2, id, 1, 12, -1, 9136798.990582
inc, 5, 2, id, 1, 12, -1, 9117282.020445
einc, 5, 2, id, 1, 12, -1, 482730.345695
einc, 5, 2, id, 1, 12, -1, 480060.952123
einc, 5, 2, id, 1, 12, -1, 480960.926733
einc, 5, 2, id, 1, 12, -1, 482415.630032
einc, 5, 2, id, 1, 12, -1, 480413.828750
orig, 5, 2, mod, 1, 12, 1, 4377.435460
orig, 5, 2, mod, 1, 12, 1, 4362.181421
orig, 5, 2, mod, 1, 12, 1, 4352.080820
orig, 5, 2, mod, 1, 12, 1, 4330.481036
orig, 5, 2, mod, 1, 12, 1, 4315.075399
inc, 5, 2, mod, 1, 12, 1, 476731.335953
inc, 5, 2, mod, 1, 12, 1, 433475.995534
inc, 5, 2, mod, 1, 12, 1, 432232.008115
inc, 5, 2, mod, 1, 12, 1, 415972.238756
inc, 5, 2, mod, 1, 12, 1, 396029.785112
orig, 5, 2, id, 1, 14, -1, 841.782209
orig, 5, 2, id, 1, 14, -1, 851.759933
orig, 5, 2, id, 1, 14, -1, 844.041531
orig, 5, 2, id, 1, 14, -1, 846.994036
orig, 5, 2, id, 1, 14, -1, 841.924193
inc, 5, 2, id, 1, 14, -1, 8934990.544818
inc, 5, 2, id, 1, 14, -1, 8966081.954249
inc, 5, 2, id, 1, 14, -1, 8970911.332732
inc, 5, 2, id, 1, 14, -1, 8970869.749623
inc, 5, 2, id, 1, 14, -1, 8984200.220598
einc, 5, 2, id, 1, 14, -1, 402856.678067
einc, 5, 2, id, 1, 14, -1, 402441.385701
einc, 5, 2, id, 1, 14, -1, 403088.675105
einc, 5, 2, id, 1, 14, -1, 403335.714501
einc, 5, 2, id, 1, 14, -1, 403818.493439
orig, 5, 2, mod, 1, 14, 1, 861.563729
orig, 5, 2, mod, 1, 14, 1, 856.753821
orig, 5, 2, mod, 1, 14, 1, 851.991244
orig, 5, 2, mod, 1, 14, 1, 853.239883
orig, 5, 2, mod, 1, 14, 1, 839.701381
inc, 5, 2, mod, 1, 14, 1, 317814.207650
inc, 5, 2, mod, 1, 14, 1, 683993.884513
inc, 5, 2, mod, 1, 14, 1, 739259.384798
inc, 5, 2, mod, 1, 14, 1, 1613911.756546
inc, 5, 2, mod, 1, 14, 1, 751453.550970
orig, 5, 2, id, 1, 16, -1, 132.081109
orig, 5, 2, id, 1, 16, -1, 131.790222
orig, 5, 2, id, 1, 16, -1, 132.166254
orig, 5, 2, id, 1, 16, -1, 130.824295
orig, 5, 2, id, 1, 16, -1, 132.254544
inc, 5, 2, id, 1, 16, -1, 9161747.678966
inc, 5, 2, id, 1, 16, -1, 9135211.213799
inc, 5, 2, id, 1, 16, -1, 9169219.431125
inc, 5, 2, id, 1, 16, -1, 9150396.315214
inc, 5, 2, id, 1, 16, -1, 9152848.049121
einc, 5, 2, id, 1, 16, -1, 335670.483370
einc, 5, 2, id, 1, 16, -1, 334679.095086
einc, 5, 2, id, 1, 16, -1, 334578.075727
einc, 5, 2, id, 1, 16, -1, 336172.418574
einc, 5, 2, id, 1, 16, -1, 334925.452692
orig, 5, 2, mod, 1, 16, 1, 132.189086
orig, 5, 2, mod, 1, 16, 1, 131.769210
orig, 5, 2, mod, 1, 16, 1, 132.080194
orig, 5, 2, mod, 1, 16, 1, 131.568412
orig, 5, 2, mod, 1, 16, 1, 131.735806
inc, 5, 2, mod, 1, 16, 1, 304196.048313
inc, 5, 2, mod, 1, 16, 1, 144977.206935
inc, 5, 2, mod, 1, 16, 1, 153648.129210
inc, 5, 2, mod, 1, 16, 1, 124603.197300
inc, 5, 2, mod, 1, 16, 1, 129157.526531
orig, 5, 2, id, 128, 8, -1, 85969.646730
orig, 5, 2, id, 128, 8, -1, 86472.265483
orig, 5, 2, id, 128, 8, -1, 86187.072900
orig, 5, 2, id, 128, 8, -1, 86342.534446
orig, 5, 2, id, 128, 8, -1, 86216.590868
inc, 5, 2, id, 128, 8, -1, 152465.286103
inc, 5, 2, id, 128, 8, -1, 152494.030625
inc, 5, 2, id, 128, 8, -1, 152754.091857
inc, 5, 2, id, 128, 8, -1, 153290.274536
inc, 5, 2, id, 128, 8, -1, 152481.068907
einc, 5, 2, id, 128, 8, -1, 43208.788808
einc, 5, 2, id, 128, 8, -1, 43073.333378
einc, 5, 2, id, 128, 8, -1, 43266.390881
einc, 5, 2, id, 128, 8, -1, 43089.899934
einc, 5, 2, id, 128, 8, -1, 43287.287179
orig, 5, 2, mod, 128, 8, 1, 85710.056041
orig, 5, 2, mod, 128, 8, 1, 85301.470401
orig, 5, 2, mod, 128, 8, 1, 85814.374082
orig, 5, 2, mod, 128, 8, 1, 85818.124808
orig, 5, 2, mod, 128, 8, 1, 85510.678716
inc, 5, 2, mod, 128, 8, 1, 53192.865642
inc, 5, 2, mod, 128, 8, 1, 53193.101920
inc, 5, 2, mod, 128, 8, 1, 53065.375399
inc, 5, 2, mod, 128, 8, 1, 53117.688154
inc, 5, 2, mod, 128, 8, 1, 53001.580609
orig, 5, 2, id, 128, 10, -1, 18514.718466
orig, 5, 2, id, 128, 10, -1, 18521.539956
orig, 5, 2, id, 128, 10, -1, 18520.374300
orig, 5, 2, id, 128, 10, -1, 18500.007979
orig, 5, 2, id, 128, 10, -1, 18569.034911
inc, 5, 2, id, 128, 10, -1, 150969.905962
inc, 5, 2, id, 128, 10, -1, 151125.759199
inc, 5, 2, id, 128, 10, -1, 151166.013345
inc, 5, 2, id, 128, 10, -1, 150669.795182
inc, 5, 2, id, 128, 10, -1, 150833.074421
einc, 5, 2, id, 128, 10, -1, 23096.424099
einc, 5, 2, id, 128, 10, -1, 23021.637571
einc, 5, 2, id, 128, 10, -1, 22996.843119
einc, 5, 2, id, 128, 10, -1, 23054.112483
einc, 5, 2, id, 128, 10, -1, 23002.984856
orig, 5, 2, mod, 128, 10, 1, 18357.790694
orig, 5, 2, mod, 128, 10, 1, 18349.005261
orig, 5, 2, mod, 128, 10, 1, 18335.656763
orig, 5, 2, mod, 128, 10, 1, 18337.232277
orig, 5, 2, mod, 128, 10, 1, 18288.559950
inc, 5, 2, mod, 128, 10, 1, 23989.677622
inc, 5, 2, mod, 128, 10, 1, 23967.816416
inc, 5, 2, mod, 128, 10, 1, 24023.015758
inc, 5, 2, mod, 128, 10, 1, 24006.945906
inc, 5, 2, mod, 128, 10, 1, 23983.656100
orig, 5, 2, id, 128, 12, -1, 4062.301393
orig, 5, 2, id, 128, 12, -1, 4063.652065
orig, 5, 2, id, 128, 12, -1, 4048.865153
orig, 5, 2, id, 128, 12, -1, 4029.007716
orig, 5, 2, id, 128, 12, -1, 4035.736393
inc, 5, 2, id, 128, 12, -1, 153556.806936
inc, 5, 2, id, 128, 12, -1, 154186.095608
inc, 5, 2, id, 128, 12, -1, 153478.407630
inc, 5, 2, id, 128, 12, -1, 154391.286521
inc, 5, 2, id, 128, 12, -1, 153999.899051
einc, 5, 2, id, 128, 12, -1, 16791.065361
einc, 5, 2, id, 128, 12, -1, 16820.323556
einc, 5, 2, id, 128, 12, -1, 16864.833195
einc, 5, 2, id, 128, 12, -1, 16763.458133
einc, 5, 2, id, 128, 12, -1, 16802.156314
orig, 5, 2, mod, 128, 12, 1, 4052.147288
orig, 5, 2, mod, 128, 12, 1, 4052.960086
orig, 5, 2, mod, 128, 12, 1, 4045.385334
orig, 5, 2, mod, 128, 12, 1, 4037.174895
orig, 5, 2, mod, 128, 12, 1, 4035.157372
inc, 5, 2, mod, 128, 12, 1, 17372.540022
inc, 5, 2, mod, 128, 12, 1, 17310.834353
inc, 5, 2, mod, 128, 12, 1, 17313.719903
inc, 5, 2, mod, 128, 12, 1, 17395.505296
inc, 5, 2, mod, 128, 12, 1, 17273.863766
orig, 5, 2, id, 128, 14, -1, 813.560172
orig, 5, 2, id, 128, 14, -1, 810.742360
orig, 5, 2, id, 128, 14, -1, 813.599801
orig, 5, 2, id, 128, 14, -1, 810.362650
orig, 5, 2, id, 128, 14, -1, 813.803497
inc, 5, 2, id, 128, 14, -1, 154815.796174
inc, 5, 2, id, 128, 14, -1, 154117.018672
inc, 5, 2, id, 128, 14, -1, 153668.628802
inc, 5, 2, id, 128, 14, -1, 154480.250211
inc, 5, 2, id, 128, 14, -1, 154250.948318
einc, 5, 2, id, 128, 14, -1, 13141.090913
einc, 5, 2, id, 128, 14, -1, 13128.959295
einc, 5, 2, id, 128, 14, -1, 13126.101446
einc, 5, 2, id, 128, 14, -1, 13112.241701
einc, 5, 2, id, 128, 14, -1, 13129.720766
orig, 5, 2, mod, 128, 14, 1, 819.312957
orig, 5, 2, mod, 128, 14, 1, 798.669324
orig, 5, 2, mod, 128, 14, 1, 817.629916
orig, 5, 2, mod, 128, 14, 1, 815.646547
orig, 5, 2, mod, 128, 14, 1, 820.030429
inc, 5, 2, mod, 128, 14, 1, 13934.303065
inc, 5, 2, mod, 128, 14, 1, 13772.355928
inc, 5, 2, mod, 128, 14, 1, 13899.518643
inc, 5, 2, mod, 128, 14, 1, 13813.221622
inc, 5, 2, mod, 128, 14, 1, 14055.263380
orig, 5, 2, id, 128, 16, -1, 108.406775
orig, 5, 2, id, 128, 16, -1, 108.160963
orig, 5, 2, id, 128, 16, -1, 107.298667
orig, 5, 2, id, 128, 16, -1, 107.050962
orig, 5, 2, id, 128, 16, -1, 107.605436
inc, 5, 2, id, 128, 16, -1, 153415.434552
inc, 5, 2, id, 128, 16, -1, 153667.070083
inc, 5, 2, id, 128, 16, -1, 153249.888214
inc, 5, 2, id, 128, 16, -1, 153142.528513
inc, 5, 2, id, 128, 16, -1, 152667.450763
einc, 5, 2, id, 128, 16, -1, 10744.137704
einc, 5, 2, id, 128, 16, -1, 10769.686413
einc, 5, 2, id, 128, 16, -1, 10804.247180
einc, 5, 2, id, 128, 16, -1, 10796.346293
einc, 5, 2, id, 128, 16, -1, 10776.926951
orig, 5, 2, mod, 128, 16, 1, 109.214538
orig, 5, 2, mod, 128, 16, 1, 109.351763
orig, 5, 2, mod, 128, 16, 1, 108.882600
orig, 5, 2, mod, 128, 16, 1, 109.559849
orig, 5, 2, mod, 128, 16, 1, 108.893573
inc, 5, 2, mod, 128, 16, 1, 9793.223853
inc, 5, 2, mod, 128, 16, 1, 10364.605722
inc, 5, 2, mod, 128, 16, 1, 9840.139608
inc, 5, 2, mod, 128, 16, 1, 9678.173039
inc, 5, 2, mod, 128, 16, 1, 9837.832571
orig, 5, 2, id, 256, 10, -1, 18586.051783
orig, 5, 2, id, 256, 10, -1, 18482.831330
orig, 5, 2, id, 256, 10, -1, 18411.444123
orig, 5, 2, id, 256, 10, -1, 18478.188197
orig, 5, 2, id, 256, 10, -1, 18528.925473
inc, 5, 2, id, 256, 10, -1, 73526.390962
inc, 5, 2, id, 256, 10, -1, 73424.416677
inc, 5, 2, id, 256, 10, -1, 73601.914677
inc, 5, 2, id, 256, 10, -1, 73508.285499
inc, 5, 2, id, 256, 10, -1, 73506.517866
einc, 5, 2, id, 256, 10, -1, 15314.643639
einc, 5, 2, id, 256, 10, -1, 15223.286217
einc, 5, 2, id, 256, 10, -1, 15272.377286
einc, 5, 2, id, 256, 10, -1, 15207.288918
einc, 5, 2, id, 256, 10, -1, 15197.384992
orig, 5, 2, mod, 256, 10, 1, 18578.545067
orig, 5, 2, mod, 256, 10, 1, 18473.598365
orig, 5, 2, mod, 256, 10, 1, 18557.458691
orig, 5, 2, mod, 256, 10, 1, 18648.277538
