name, repeat, time, transf, fvc, depth, inv_depth, rate
orig, 5, 2, id, 1, 8, -1, 44455.639617
orig, 5, 2, id, 1, 8, -1, 33991.280331
orig, 5, 2, id, 1, 8, -1, 38100.215007
orig, 5, 2, id, 1, 8, -1, 30908.417393
orig, 5, 2, id, 1, 8, -1, 30816.551976
inc, 5, 2, id, 1, 8, -1, 5770679.415254
inc, 5, 2, id, 1, 8, -1, 5769698.591820
inc, 5, 2, id, 1, 8, -1, 5770679.031944
inc, 5, 2, id, 1, 8, -1, 5714532.949929
inc, 5, 2, id, 1, 8, -1, 4037456.782488
einc, 5, 2, id, 1, 8, -1, 510752.956338
einc, 5, 2, id, 1, 8, -1, 509117.622736
einc, 5, 2, id, 1, 8, -1, 509458.024243
einc, 5, 2, id, 1, 8, -1, 510908.977976
einc, 5, 2, id, 1, 8, -1, 508779.997374
orig, 5, 2, mod, 1, 8, 1, 51094.370925
orig, 5, 2, mod, 1, 8, 1, 51088.115944
orig, 5, 2, mod, 1, 8, 1, 51095.607556
orig, 5, 2, mod, 1, 8, 1, 51246.658696
orig, 5, 2, mod, 1, 8, 1, 51243.731843
inc, 5, 2, mod, 1, 8, 1, 542291.743769
inc, 5, 2, mod, 1, 8, 1, 521143.478797
inc, 5, 2, mod, 1, 8, 1, 520825.767830
inc, 5, 2, mod, 1, 8, 1, 513143.828591
inc, 5, 2, mod, 1, 8, 1, 511448.121445
orig, 5, 2, id, 1, 10, -1, 12040.883284
orig, 5, 2, id, 1, 10, -1, 12028.556225
orig, 5, 2, id, 1, 10, -1, 12009.689374
orig, 5, 2, id, 1, 10, -1, 12014.982626
orig, 5, 2, id, 1, 10, -1, 12032.976092
inc, 5, 2, id, 1, 10, -1, 5741326.496767
inc, 5, 2, id, 1, 10, -1, 5757862.976602
inc, 5, 2, id, 1, 10, -1, 5751063.306886
inc, 5, 2, id, 1, 10, -1, 5746206.205688
inc, 5, 2, id, 1, 10, -1, 5754572.259272
einc, 5, 2, id, 1, 10, -1, 383322.145219
einc, 5, 2, id, 1, 10, -1, 383710.933988
einc, 5, 2, id, 1, 10, -1, 383964.908275
einc, 5, 2, id, 1, 10, -1, 383817.085851
einc, 5, 2, id, 1, 10, -1, 383679.059534
orig, 5, 2, mod, 1, 10, 1, 12062.340897
orig, 5, 2, mod, 1, 10, 1, 12032.997793
orig, 5, 2, mod, 1, 10, 1, 12051.321194
orig, 5, 2, mod, 1, 10, 1, 12010.561673
orig, 5, 2, mod, 1, 10, 1, 12073.265728
inc, 5, 2, mod, 1, 10, 1, 415160.081003
inc, 5, 2, mod, 1, 10, 1, 405905.495676
inc, 5, 2, mod, 1, 10, 1, 405493.164250
inc, 5, 2, mod, 1, 10, 1, 411100.907435
inc, 5, 2, mod, 1, 10, 1, 397361.156036
orig, 5, 2, id, 1, 12, -1, 2727.274518
orig, 5, 2, id, 1, 12, -1, 2718.441263
orig, 5, 2, id, 1, 12, -1, 2714.988926
orig, 5, 2, id, 1, 12, -1, 2709.918340
orig, 5, 2, id, 1, 12, -1, 2719.673698
inc, 5, 2, id, 1, 12, -1, 5756251.463341
inc, 5, 2, id, 1, 12, -1, 5743322.993554
inc, 5, 2, id, 1, 12, -1, 5766276.446632
inc, 5, 2, id, 1, 12, -1, 5770212.758015
inc, 5, 2, id, 1, 12, -1, 5747102.484156
einc, 5, 2, id, 1, 12, -1, 301346.790356
einc, 5, 2, id, 1, 12, -1, 302597.554531
einc, 5, 2, id, 1, 12, -1, 302646.543355
einc, 5, 2, id, 1, 12, -1, 302642.574822
einc, 5, 2, id, 1, 12, -1, 302591.451116
orig, 5, 2, mod, 1, 12, 1, 2708.442717
orig, 5, 2, mod, 1, 12, 1, 2695.231513
orig, 5, 2, mod, 1, 12, 1, 2694.835267
orig, 5, 2, mod, 1, 12, 1, 2708.814954
orig, 5, 2, mod, 1, 12, 1, 2717.398019
inc, 5, 2, mod, 1, 12, 1, 333802.488336
inc, 5, 2, mod, 1, 12, 1, 300666.092328
inc, 5, 2, mod, 1, 12, 1, 325705.440943
inc, 5, 2, mod, 1, 12, 1, 311038.170594
inc, 5, 2, mod, 1, 12, 1, 308272.890485
orig, 5, 2, id, 1, 14, -1, 527.835779
orig, 5, 2, id, 1, 14, -1, 527.698472
orig, 5, 2, id, 1, 14, -1, 526.790904
orig, 5, 2, id, 1, 14, -1, 526.900888
orig, 5, 2, id, 1, 14, -1, 526.861267
inc, 5, 2, id, 1, 14, -1, 5765601.878051
inc, 5, 2, id, 1, 14, -1, 5776244.703559
inc, 5, 2, id, 1, 14, -1, 5754778.291675
inc, 5, 2, id, 1, 14, -1, 5773263.931722
inc, 5, 2, id, 1, 14, -1, 5758507.721547
einc, 5, 2, id, 1, 14, -1, 247859.351453
einc, 5, 2, id, 1, 14, -1, 247578.947368
einc, 5, 2, id, 1, 14, -1, 247221.467641
einc, 5, 2, id, 1, 14, -1, 247575.064076
einc, 5, 2, id, 1, 14, -1, 247732.434923
orig, 5, 2, mod, 1, 14, 1, 526.881301
orig, 5, 2, mod, 1, 14, 1, 526.248951
orig, 5, 2, mod, 1, 14, 1, 528.253855
orig, 5, 2, mod, 1, 14, 1, 527.498639
orig, 5, 2, mod, 1, 14, 1, 527.028772
inc, 5, 2, mod, 1, 14, 1, 265666.910510
inc, 5, 2, mod, 1, 14, 1, 251628.250728
inc, 5, 2, mod, 1, 14, 1, 295738.327905
inc, 5, 2, mod, 1, 14, 1, 296527.135159
inc, 5, 2, mod, 1, 14, 1, 253537.187006
orig, 5, 2, id, 1, 16, -1, 85.048362
orig, 5, 2, id, 1, 16, -1, 85.315045
orig, 5, 2, id, 1, 16, -1, 85.055363
orig, 5, 2, id, 1, 16, -1, 85.285279
orig, 5, 2, id, 1, 16, -1, 85.150717
inc, 5, 2, id, 1, 16, -1, 5742257.640186
inc, 5, 2, id, 1, 16, -1, 5758131.143646
inc, 5, 2, id, 1, 16, -1, 5753569.022870
inc, 5, 2, id, 1, 16, -1, 5737542.352402
inc, 5, 2, id, 1, 16, -1, 5752980.062695
einc, 5, 2, id, 1, 16, -1, 207495.292200
einc, 5, 2, id, 1, 16, -1, 206901.244686
einc, 5, 2, id, 1, 16, -1, 207013.837531
einc, 5, 2, id, 1, 16, -1, 207411.698816
einc, 5, 2, id, 1, 16, -1, 207492.316555
