name, repeat, time, slow_prob, transf, fvc, depth, inv_depth, rate
orig, 1, 1, 0.500000, id, 1, 10, -1, 22740.236058
inc, 1, 1, 0.500000, id, 1, 10, -1, 6044338.717878
einc, 1, 1, 0.500000, id, 1, 10, -1, 477413.702872
orig, 1, 1, 0.500000, add, 1, 10, 1, 22751.722971
inc, 1, 1, 0.500000, add, 1, 10, 1, 153838.421769
orig, 1, 1, 0.500000, elim, 1, 10, 1, 47148.995807
inc, 1, 1, 0.500000, elim, 1, 10, 1, 31838.115631
orig, 1, 1, 0.500000, move, 1, 10, 1, 22902.926088
inc, 1, 1, 0.500000, move, 1, 10, 1, 17682.966323
orig, 1, 1, 0.750000, id, 1, 10, -1, 22762.158553
inc, 1, 1, 0.750000, id, 1, 10, -1, 5832697.216482
einc, 1, 1, 0.750000, id, 1, 10, -1, 466022.792164
orig, 1, 1, 0.750000, add, 1, 10, 1, 22372.283426
inc, 1, 1, 0.750000, add, 1, 10, 1, 142160.458842
orig, 1, 1, 0.750000, elim, 1, 10, 1, 45665.788381
inc, 1, 1, 0.750000, elim, 1, 10, 1, 30885.298999
orig, 1, 1, 0.750000, move, 1, 10, 1, 21966.514216
inc, 1, 1, 0.750000, move, 1, 10, 1, 17272.815779
orig, 1, 1, 0.900000, id, 1, 10, -1, 22197.728295
inc, 1, 1, 0.900000, id, 1, 10, -1, 5705436.008928
einc, 1, 1, 0.900000, id, 1, 10, -1, 458312.011571
orig, 1, 1, 0.900000, add, 1, 10, 1, 22284.995950
inc, 1, 1, 0.900000, add, 1, 10, 1, 150400.520025
orig, 1, 1, 0.900000, elim, 1, 10, 1, 46111.098441
inc, 1, 1, 0.900000, elim, 1, 10, 1, 31072.236660
orig, 1, 1, 0.900000, move, 1, 10, 1, 22302.565875
inc, 1, 1, 0.900000, move, 1, 10, 1, 17339.292189
orig, 1, 1, 0.500000, id, 1, 12, -1, 5067.850438
inc, 1, 1, 0.500000, id, 1, 12, -1, 5745621.203505
einc, 1, 1, 0.500000, id, 1, 12, -1, 372848.597992
orig, 1, 1, 0.500000, add, 1, 12, 1, 5125.109316
inc, 1, 1, 0.500000, add, 1, 12, 1, 46749.915102
orig, 1, 1, 0.500000, elim, 1, 12, 1, 10845.842775
inc, 1, 1, 0.500000, elim, 1, 12, 1, 6786.939413
orig, 1, 1, 0.500000, move, 1, 12, 1, 5121.009444
inc, 1, 1, 0.500000, move, 1, 12, 1, 4919.747829
orig, 1, 1, 0.750000, id, 1, 12, -1, 5118.145850
inc, 1, 1, 0.750000, id, 1, 12, -1, 5903470.498422
einc, 1, 1, 0.750000, id, 1, 12, -1, 380760.024799
orig, 1, 1, 0.750000, add, 1, 12, 1, 5130.956483
inc, 1, 1, 0.750000, add, 1, 12, 1, 51897.700091
orig, 1, 1, 0.750000, elim, 1, 12, 1, 10853.945668
inc, 1, 1, 0.750000, elim, 1, 12, 1, 7559.558440
orig, 1, 1, 0.750000, move, 1, 12, 1, 4940.482400
inc, 1, 1, 0.750000, move, 1, 12, 1, 4792.357588
orig, 1, 1, 0.900000, id, 1, 12, -1, 4981.419055
inc, 1, 1, 0.900000, id, 1, 12, -1, 5714339.370049
einc, 1, 1, 0.900000, id, 1, 12, -1, 365376.029559
orig, 1, 1, 0.900000, add, 1, 12, 1, 5009.779953
inc, 1, 1, 0.900000, add, 1, 12, 1, 50124.843945
orig, 1, 1, 0.900000, elim, 1, 12, 1, 10340.522845
inc, 1, 1, 0.900000, elim, 1, 12, 1, 7494.074665
orig, 1, 1, 0.900000, move, 1, 12, 1, 4993.520668
inc, 1, 1, 0.900000, move, 1, 12, 1, 4779.787684
orig, 1, 1, 0.500000, id, 1, 14, -1, 1011.679521
inc, 1, 1, 0.500000, id, 1, 14, -1, 5727543.823546
einc, 1, 1, 0.500000, id, 1, 14, -1, 303710.385425
orig, 1, 1, 0.500000, add, 1, 14, 1, 1074.164657
inc, 1, 1, 0.500000, add, 1, 14, 1, 13241.735397
orig, 1, 1, 0.500000, elim, 1, 14, 1, 2307.956768
inc, 1, 1, 0.500000, elim, 1, 14, 1, 1513.009518
orig, 1, 1, 0.500000, move, 1, 14, 1, 1017.966434
inc, 1, 1, 0.500000, move, 1, 14, 1, 1027.359385
orig, 1, 1, 0.750000, id, 1, 14, -1, 1019.679033
inc, 1, 1, 0.750000, id, 1, 14, -1, 5746126.047121
einc, 1, 1, 0.750000, id, 1, 14, -1, 302971.893776
orig, 1, 1, 0.750000, add, 1, 14, 1, 1042.278375
inc, 1, 1, 0.750000, add, 1, 14, 1, 13252.349936
orig, 1, 1, 0.750000, elim, 1, 14, 1, 2227.042189
